timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666976087622,443,Get Users,200,OK,endurance 1-1,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,443,0,328
1666976088066,101,Delete Users,200,OK,endurance 1-1,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,101,0,0
1666976088167,107,Get User by ID,200,OK,endurance 1-1,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,107,0,0
1666976089630,455,Get Users,200,OK,endurance 1-2,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,455,0,344
1666976090085,99,Delete Users,200,OK,endurance 1-2,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,99,0,0
1666976090185,103,Get User by ID,200,OK,endurance 1-2,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,103,0,0
1666976091618,452,Get Users,200,OK,endurance 1-3,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,452,0,334
1666976092071,102,Delete Users,200,OK,endurance 1-3,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,102,0,0
1666976092173,100,Get User by ID,200,OK,endurance 1-3,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,100,0,0
1666976093619,428,Get Users,200,OK,endurance 1-4,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,428,0,317
1666976094047,100,Delete Users,200,OK,endurance 1-4,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,100,0,0
1666976094148,104,Get User by ID,200,OK,endurance 1-4,text,true,,310,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,104,0,0
1666976095619,466,Get Users,200,OK,endurance 1-5,text,true,,784,146,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,466,0,347
1666976096085,110,Delete Users,200,OK,endurance 1-5,text,true,,313,149,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,110,0,0
