timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1664660421688,3422,Get Users,200,OK,stress 1-1,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,3422,0,2711
1664660425110,688,Delete User,200,OK,stress 1-1,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/2,688,0,0
1664660423679,2453,Get Users,200,OK,stress 1-2,text,true,,784,148,3,3,https://p3demo-appservice.azurewebsites.net/api/Users,2453,0,1650
1664660426133,372,Delete User,200,OK,stress 1-2,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/4,372,0,0
1664660426506,329,Get User by ID,200,OK,stress 1-2,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/4,329,0,0
1664660425694,1757,Get Users,200,OK,stress 1-3,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,1757,0,1367
1664660425798,1766,Get User by ID,200,OK,stress 1-1,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/2,1765,0,0
1664660427452,390,Delete User,200,OK,stress 1-3,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/6,390,0,0
1664660427844,542,Get User by ID,200,OK,stress 1-3,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/6,542,0,0
1664660427679,3200,Get Users,200,OK,stress 1-4,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,3200,0,2516
1664660430879,1374,Delete User,200,OK,stress 1-4,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/8,1374,0,0
1664660432254,809,Get User by ID,200,OK,stress 1-4,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/8,809,0,0
1664660429695,3393,Get Users,200,OK,stress 1-5,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,3393,0,2638
1664660433087,1176,Delete User,200,OK,stress 1-5,text,true,,313,151,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/10,1176,0,0
1664660434264,725,Get User by ID,200,OK,stress 1-5,text,true,,313,151,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/10,725,0,0
1664660433678,3097,Get Users,200,OK,stress 1-7,text,true,,784,148,3,3,https://p3demo-appservice.azurewebsites.net/api/Users,3097,0,2309
1664660436776,2295,Delete User,200,OK,stress 1-7,text,true,,310,150,4,4,https://p3demo-appservice.azurewebsites.net/api/Users/4,2295,0,0
1664660435677,3395,Get Users,200,OK,stress 1-8,text,true,,784,148,4,4,https://p3demo-appservice.azurewebsites.net/api/Users,3395,0,2793
1664660439073,920,Delete User,200,OK,stress 1-8,text,true,,310,150,5,5,https://p3demo-appservice.azurewebsites.net/api/Users/6,920,0,0
1664660439073,920,Get User by ID,200,OK,stress 1-7,text,true,,310,150,5,5,https://p3demo-appservice.azurewebsites.net/api/Users/4,920,0,0
1664660439993,923,Get User by ID,200,OK,stress 1-8,text,true,,310,150,4,4,https://p3demo-appservice.azurewebsites.net/api/Users/6,923,0,0
1664660437679,3967,Get Users,200,OK,stress 1-9,text,true,,784,148,3,3,https://p3demo-appservice.azurewebsites.net/api/Users,3967,0,2928
1664660441647,991,Delete User,200,OK,stress 1-9,text,true,,310,150,4,4,https://p3demo-appservice.azurewebsites.net/api/Users/8,991,0,0
1664660442639,973,Get User by ID,200,OK,stress 1-9,text,true,,310,150,4,4,https://p3demo-appservice.azurewebsites.net/api/Users/8,973,0,0
1664660439679,3969,Get Users,200,OK,stress 1-10,text,true,,784,148,3,3,https://p3demo-appservice.azurewebsites.net/api/Users,3969,0,2989
1664660443647,448,Delete User,200,OK,stress 1-10,text,true,,313,151,4,4,https://p3demo-appservice.azurewebsites.net/api/Users/10,448,0,0
1664660431697,12585,Get Users,200,OK,stress 1-6,text,true,,784,148,4,4,https://p3demo-appservice.azurewebsites.net/api/Users,12585,0,12007
1664660444095,659,Get User by ID,200,OK,stress 1-10,text,true,,313,151,4,4,https://p3demo-appservice.azurewebsites.net/api/Users/10,659,0,0
1664660441680,3089,Get Users,200,OK,stress 1-11,text,true,,784,148,3,3,https://p3demo-appservice.azurewebsites.net/api/Users,3089,0,2416
1664660444281,595,Delete User,200,OK,stress 1-6,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/2,595,0,0
1664660444769,364,Delete User,200,OK,stress 1-11,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/2,364,0,0
1664660445134,313,Get User by ID,200,OK,stress 1-11,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/2,313,0,0
1664660443676,1853,Get Users,200,OK,stress 1-12,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,1852,0,1529
1664660445529,506,Delete User,200,OK,stress 1-12,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/4,506,0,0
1664660446036,546,Get User by ID,200,OK,stress 1-12,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/4,546,0,0
1664660444877,2098,Get User by ID,200,OK,stress 1-6,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/2,2098,0,0
1664660445677,2204,Get Users,200,OK,stress 1-13,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,2204,0,1689
1664660447882,540,Delete User,200,OK,stress 1-13,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/6,540,0,0
1664660448423,830,Get User by ID,200,OK,stress 1-13,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/6,830,0,0
1664660447679,1995,Get Users,200,OK,stress 1-14,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1995,0,1643
1664660449675,521,Delete User,200,OK,stress 1-14,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/8,521,0,0
1664660450196,695,Get User by ID,200,OK,stress 1-14,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/8,695,0,0
1664660449679,2622,Get Users,200,OK,stress 1-15,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,2622,0,1979
1664660451680,2017,Get Users,200,OK,stress 1-16,text,true,,784,148,3,3,https://p3demo-appservice.azurewebsites.net/api/Users,2017,0,1518
1664660452301,1426,Delete User,200,OK,stress 1-15,text,true,,313,151,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/10,1426,0,0
1664660453697,353,Delete User,200,OK,stress 1-16,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/2,353,0,0
1664660453727,349,Get User by ID,200,OK,stress 1-15,text,true,,313,151,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/10,349,0,0
1664660454050,456,Get User by ID,200,OK,stress 1-16,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/2,456,0,0
1664660453678,3028,Get Users,200,OK,stress 1-17,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,3028,0,2701
1664660456706,707,Delete User,200,OK,stress 1-17,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/4,707,0,0
1664660457413,592,Get User by ID,200,OK,stress 1-17,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/4,592,0,0
1664660455678,2654,Get Users,200,OK,stress 1-18,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,2654,0,1941
1664660458332,1035,Delete User,200,OK,stress 1-18,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/6,1035,0,0
1664660459367,358,Get User by ID,200,OK,stress 1-18,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/6,358,0,0
1664660457678,3266,Get Users,200,OK,stress 1-19,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,3266,0,2214
1664660460944,346,Delete User,200,OK,stress 1-19,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/8,346,0,0
1664660461291,651,Get User by ID,200,OK,stress 1-19,text,true,,310,150,3,3,https://p3demo-appservice.azurewebsites.net/api/Users/8,651,0,0
1664660459678,2608,Get Users,200,OK,stress 1-20,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,2607,0,2135
1664660462286,335,Delete User,200,OK,stress 1-20,text,true,,313,151,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/10,335,0,0
1664660462628,366,Get User by ID,200,OK,stress 1-20,text,true,,313,151,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/10,366,0,0
1664660461680,1711,Get Users,200,OK,stress 1-21,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1711,0,1318
1664660463392,357,Delete User,200,OK,stress 1-21,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/2,357,0,0
1664660463750,343,Get User by ID,200,OK,stress 1-21,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/2,343,0,0
1664660463678,1442,Get Users,200,OK,stress 1-22,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1442,0,1063
1664660465120,362,Delete User,200,OK,stress 1-22,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,362,0,0
1664660465483,363,Get User by ID,200,OK,stress 1-22,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/4,363,0,0
1664660465681,1644,Get Users,200,OK,stress 1-23,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1644,0,1276
1664660467326,340,Delete User,200,OK,stress 1-23,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/6,340,0,0
1664660467667,365,Get User by ID,200,OK,stress 1-23,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/6,365,0,0
1664660467691,1390,Get Users,200,OK,stress 1-24,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1390,0,1041
1664660469080,351,Delete User,200,OK,stress 1-24,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,351,0,0
1664660469431,368,Get User by ID,200,OK,stress 1-24,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/8,367,0,0
1664660469694,2589,Get Users,200,OK,stress 1-25,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,2589,0,2234
1664660472283,346,Delete User,200,OK,stress 1-25,text,true,,313,151,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/10,346,0,0
1664660472629,343,Get User by ID,200,OK,stress 1-25,text,true,,313,151,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/10,343,0,0
1664660471694,1422,Get Users,200,OK,stress 1-26,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1422,0,1078
1664660473118,321,Delete User,200,OK,stress 1-26,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/2,320,0,0
1664660473439,307,Get User by ID,200,OK,stress 1-26,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/2,307,0,0
1664660473693,1219,Get Users,200,OK,stress 1-27,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1219,0,858
1664660474913,367,Delete User,200,OK,stress 1-27,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,367,0,0
1664660475281,370,Get User by ID,200,OK,stress 1-27,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/4,370,0,0
1664660475695,2287,Get Users,200,OK,stress 1-28,text,true,,784,148,2,2,https://p3demo-appservice.azurewebsites.net/api/Users,2287,0,1231
1664660477982,340,Delete User,200,OK,stress 1-28,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/6,340,0,0
1664660478323,330,Get User by ID,200,OK,stress 1-28,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/6,329,0,0
1664660477694,1388,Get Users,200,OK,stress 1-29,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,1388,0,1027
1664660479081,329,Delete User,200,OK,stress 1-29,text,true,,310,150,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/8,329,0,0
1664660479410,323,Get User by ID,200,OK,stress 1-29,text,true,,310,150,2,2,https://p3demo-appservice.azurewebsites.net/api/Users/8,323,0,0
1664660479694,5981,Get Users,200,OK,stress 1-30,text,true,,784,148,1,1,https://p3demo-appservice.azurewebsites.net/api/Users,5981,0,5607
1664660485676,363,Delete User,200,OK,stress 1-30,text,true,,313,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,363,0,0
1664660486039,345,Get User by ID,200,OK,stress 1-30,text,true,,313,151,1,1,https://p3demo-appservice.azurewebsites.net/api/Users/10,345,0,0
